universe,effective_score_date,benchmark,method,ticker,name,method_rank,method_score,method_score_label,raw_ml_score,raw_ml_rank,eligibility_state,candidate_type_group,trade_signal,reason_text,latest_price_date,return_1m,return_3m,return_6m,return_12m,rs_3m,rs_6m,sma50_state,sma100_state,sma200_state,drawdown,volatility,liquidity,stretch,source_ref
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,KIT.OL,Kitron ASA,1,60.5,Score,,,HARD_FILTER_PASS,StableLeader,Strong Buy,Over SMA200 | 1m 2.4% | 3m 10.1% | 6m 67.9% | RS 1.38 | RS 20d siden 1.2 | RS-trend +0.18 | SMA-dist 32.8% | DD -17.3% | 12m 98.4% | 12-1 93.7% | Accel -1.0% | Accel < 0 | Negative accel penalty | Stable leader bonus,2026-06-19,0.0240296319486899,0.1013916971406379,0.6787879250266335,0.9838855161849038,,1.383287835821213,,,ABOVE,-17.257039294569953,0.017653997624051978,,32.81112246677944,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,MAS.OL,MÅSØVAL AS,2,46.29,Score,,,HARD_FILTER_PASS,,Strong Buy,Over SMA200 | 1m 0.9% | 3m 46.9% | 6m 39.5% | RS 1.15 | RS 20d siden 1.02 | RS-trend +0.13 | SMA-dist 25.2% | DD -55.4% | 12m 59.6% | 12-1 58.2% | Accel -14.7% | Accel < 0 | Negative accel penalty | RS < 1.2 penalty,2026-06-19,0.009118517420875216,0.4690265576349688,0.3949580599667224,0.5961539413802053,,1.1494176763286597,,,ABOVE,-55.400001525878906,0.011274385404507706,,25.212147036853754,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,SNTIA.OL,SENTIA ASA,3,33.3,Score,,,HARD_FILTER_PASS,,Buy,Over SMA200 | 1m 2.8% | 3m 10.1% | 6m 27.9% | RS 1.05 | RS 20d siden 0.96 | RS-trend +0.09 | SMA-dist 14.4% | DD -7.8% | 12m 37.7% | 12-1 34.0% | Accel -0.6% | Accel < 0 | Negative accel penalty | RS < 1.1 penalty,2026-06-19,0.02766796352968548,0.10060670208964884,0.278688524590164,0.37687551454642,,1.0536138933937629,,,ABOVE,-7.845582580734289,0.0155355820870351,,14.376544992476163,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,INIFY.OL,INIFY LABORATORIES AB,4,93.68,Score,,,HARD_FILTER_PASS,ReboundCase,Avoid,Over SMA200 | 1m 106.2% | 3m 77.8% | 6m 145.4% | RS 2.02 | RS 20d siden 0.76 | RS-trend +1.27 | SMA-dist 74.8% | DD -78.4% | 12m 33.3% | 12-1 -35.3% | Accel 80.3% | Volatility elevated | 1m > 100% | Rebound-case penalty,2026-06-19,1.0618556092884925,0.7777777777777777,1.4539877372401997,0.33333333333333326,,2.0220370515977697,,,ABOVE,-78.39506274588018,0.07269569839430844,,74.81753497103333,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,ZAP.OL,ZAPTEC ASA,5,85.18,Score,,,HARD_FILTER_PASS,StableLeader,Avoid,Over SMA200 | 1m 12.8% | 3m 64.6% | 6m 103.0% | RS 1.67 | RS 20d siden 1.39 | RS-trend +0.28 | SMA-dist 55.4% | DD -60.7% | 12m 148.7% | 12-1 120.4% | Accel -8.7% | Volatility elevated | Accel < 0 | Negative accel penalty | Stable leader bonus,2026-06-19,0.12838635253211872,0.6460481408234149,1.0296610487976552,1.487019779680439,,1.6724003060704526,,,ABOVE,-60.72992756418938,0.0357357409973439,,55.40595815321785,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,NSKOG.OL,NORSKE SKOG,6,82.55,Score,,,HARD_FILTER_PASS,,Avoid,Over SMA200 | 1m 4.3% | 3m 42.3% | 6m 171.3% | RS 2.24 | RS 20d siden 2.31 | RS-trend -0.07 | SMA-dist 77.0% | DD -58.5% | 12m 127.0% | 12-1 117.6% | Accel -9.8% | Volatility elevated | Svak RS-trend | Accel < 0 | Negative accel penalty,2026-06-19,0.043189299719613494,0.42296074457362165,1.713133457267042,1.2698794445359565,,2.2355679668934423,,,ABOVE,-58.50923549242506,0.031121185070828065,,76.98283152906352,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,FRO.OL,FRONTLINE PLC,7,63.15,Score,,,HARD_FILTER_PASS,StableLeader,Avoid,Over SMA200 | 1m 6.0% | 3m 27.9% | 6m 66.0% | RS 1.37 | RS 20d siden 1.11 | RS-trend +0.25 | SMA-dist 35.4% | DD -17.3% | 12m 96.3% | 12-1 85.1% | Accel -3.3% | Volatility elevated | Accel < 0 | Negative accel penalty | Stable leader bonus,2026-06-19,0.06044571645412611,0.2792338857500243,0.6602704192773137,0.9633833119678803,,1.3680297796540666,,,ABOVE,-17.307692307692314,0.020670856400545272,,35.41874593152886,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,SUBC.OL,SUBSEA 7,8,60.76,Score,,,HARD_FILTER_PASS,StableLeader,Avoid,Over SMA200 | 1m 5.2% | 3m 32.5% | 6m 73.0% | RS 1.43 | RS 20d siden 1.29 | RS-trend +0.14 | SMA-dist 39.3% | DD -14.3% | 12m 80.0% | 12-1 71.0% | Accel -5.6% | Volatility elevated | Accel < 0 | Negative accel penalty | Stable leader bonus,2026-06-19,0.05240443995021993,0.3253105039108346,0.7303598003844163,0.7996837079002803,,1.4257820346353824,,,ABOVE,-14.260968466196545,0.029768068639552125,,39.33072834594455,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,NAPA.OL,NAPATECH,9,57.41,Score,,,HARD_FILTER_PASS,,Avoid,Over SMA200 | 1m 5.7% | 3m 52.5% | 6m 53.2% | RS 1.26 | RS 20d siden 1.34 | RS-trend -0.08 | SMA-dist 50.3% | DD -28.0% | 12m 119.4% | 12-1 107.5% | Accel -11.8% | Volatility elevated | Svak RS-trend | Accel < 0 | Negative accel penalty,2026-06-19,0.05732485881975036,0.5252678992246993,0.5323076688326323,1.1938324917752947,,1.262591020243437,,,ABOVE,-27.97029880598092,0.08095332508449507,,50.30105263352347,main
NORWAY_V2,2026-06-19,^OSEAX,main_momentum,GOD.OL,GOODTECH,10,48.15,Score,,,HARD_FILTER_PASS,ReboundCase,Avoid,Over SMA200 | 1m 22.9% | 3m 33.0% | 6m 47.3% | RS 1.21 | RS 20d siden 0.95 | RS-trend +0.27 | SMA-dist 34.5% | DD -34.8% | 12m 60.4% | 12-1 30.6% | Accel 11.9% | Volatility elevated | Rebound-case penalty,2026-06-19,0.22869957650016404,0.33009704423002506,0.47311822884840127,0.6042154415059835,,1.2138200997961996,,,ABOVE,-34.83870721632435,0.020368281866865713,,34.49370819445414,main
